FOR GEOCODING,Latitude,Longitude,Station
"Secretariat, Amaravati, Andhra Pradesh",16.5045615,80.5235168,CAAQMS
"Gulzarpet, Anantapur, Andhra Pradesh",14.6754526,77.5977596,CAAQMS
"Gangineni Cheruvu, Chittoor, Andhra Pradesh",13.2053706,79.1001608,CAAQMS
"Anand Kala Kshetram, Rajamahendravaram, Andhra Pradesh",16.9955344,81.777335,CAAQMS
"Tirumala, Tirupati, Andhra Pradesh",13.6807357,79.3508975,CAAQMS
"Vaikuntapuram, Tirupati, Andhra Pradesh",13.6143707,79.4120108,CAAQMS
"PWD Grounds, Vijayawada, Andhra Pradesh",16.5061942,80.6313553,CAAQMS
"Greater Visakhapatnam Municipal Corporation, Visakhapatnam, Andhra Pradesh",17.6868159,83.2184815,CAAQMS
"Naharlagun, Naharlagun, Arunachal Pradesh",27.1086309,93.6983979,CAAQMS
"IITG, Guwahati, Assam",26.2027435,91.7003706,CAAQMS
"LGBI Airport, Guwahati, Assam",26.1064727,91.5860468,CAAQMS
"Pan Bazaar, Guwahati, Assam",26.1859679,91.7453642,CAAQMS
"Railway Colony, Guwahati, Assam",26.1795873,91.784315,CAAQMS
"Bata Chowk, Nalbari, Assam",26.4470004,91.4400096,CAAQMS
"Girls College, Sivasagar, Assam",26.988134,94.6338415,CAAQMS
"Kharahiya Basti, Araria, Bihar",26.1475707,87.4566817,CAAQMS
"New DM Office, Arrah, Bihar",25.5626095,84.663264,CAAQMS
"Gurdeo Nagar, Aurangabad, Bihar",24.7548649,84.3680054,CAAQMS
"DRCC Anandpur, Begusarai, Bihar",25.4445116,86.1399615,CAAQMS
"Kamalnath Nagar, Bettiah, Bihar",26.8040197,84.5104212,CAAQMS
"DM Office_Kachari Chowk, Bhagalpur, Bihar",25.2506776,86.9897915,CAAQMS
"Mayaganj, Bhagalpur, Bihar",25.2610043,87.0086927,CAAQMS
"D M Colony, Bihar Sharif, Bihar",25.2033713,85.5142297,CAAQMS
"Central Jail, Buxar, Bihar",25.5580341,83.9499487,CAAQMS
"Darshan Nagar, Chhapra, Bihar",25.7827064,84.7459203,CAAQMS
"Town Hall Lal Bagh, Darbhanga, Bihar",26.1514392,85.8934836,CAAQMS
"Collectorate, Gaya, Bihar",24.7910258,85.0065139,CAAQMS
"Kareemganj, Gaya, Bihar",24.7953413,84.9882548,CAAQMS
"SFTI Kusdihra, Gaya, Bihar",24.762915,84.9819212,CAAQMS
"Industrial Area, Hajipur, Bihar",25.6927811,85.2401164,CAAQMS
"Mirchaibari, Katihar, Bihar",25.5626421,87.5628552,CAAQMS
"SDM Office_Khagra, Kishanganj, Bihar",26.0880835,87.9383428,CAAQMS
