City/Town,State or union territory,Place,Latitude,Longitude,AVERAGE,Exceeding/Not exceeding
Abohar,Punjab,"Abohar, Punjab",30.14686,74.2008185,68.21999969,Exceeding
Achhnera,Uttar Pradesh,"Achhnera, Uttar Pradesh",27.17737,77.7537913,108.1600006,Exceeding
Adalaj,Gujarat,"Adalaj, Gujarat",23.1667,72.58095,59.47999954,Exceeding
Adra,West Bengal,"Adra, West Bengal",23.49589,86.6762176,76.22000122,Exceeding
Agartala,Tripura,"Agartala, Tripura",23.83146,91.2867777,75.82000122,Exceeding
Ajmer,Rajasthan,"Ajmer, Rajasthan",26.4499,74.6399163,57.84000015,Exceeding
Akot,Maharashtra,"Akot, Maharashtra",21.09734,77.053568,50.75999985,Exceeding
Aligarh,Uttar Pradesh,"Aligarh, Uttar Pradesh",27.89739,78.0880129,106.0000015,Exceeding
Amalner,Maharashtra,"Amalner, Maharashtra",21.04192,75.0581943,50.26000061,Exceeding
Ambarnath,Maharashtra,"Ambarnath, Maharashtra",19.18252,73.1926023,43.9,Exceeding
Amroha,Uttar Pradesh,"Amroha, Uttar Pradesh",28.90518,78.467318,66.59999924,Exceeding
Anand,Gujarat,"Anand, Gujarat",22.56452,72.928871,49.45999985,Exceeding
Anjangaon,Maharashtra,"Anjangaon, Maharashtra",21.1671,77.3152116,48.99999924,Exceeding
Anjar,Gujarat,"Anjar, Gujarat",23.11667,70.0281023,50.88000107,Exceeding
Ankleshwar,Gujarat,"Ankleshwar, Gujarat",21.62642,73.0151984,43.44000015,Exceeding
"Anpara, Uttar Pradesh",Uttar Pradesh,"Anpara, Uttar Pradesh",24.2048772,82.7832489,49.3,Exceeding
Arambagh,West Bengal,"Arambagh, West Bengal",22.8765,87.7909507,73.15999908,Exceeding
Araria,Bihar,"Araria, Bihar",26.13247,87.4528067,68.60000153,Exceeding
Arrah,Bihar,"Arrah, Bihar",25.55414,84.6664797,90.83999939,Exceeding
Arvi,Maharashtra,"Arvi, Maharashtra",21.00101,78.230741,50.77999878,Exceeding
Arwal,Bihar,"Arwal, Bihar",25.24276,84.6655981,85.7,Exceeding
Asarganj,Bihar,"Asarganj, Bihar",25.1476,86.6875465,73.58000031,Exceeding
Ashok Nagar,Madhya Pradesh,"Ashok Nagar, Madhya Pradesh",24.57751,77.7318495,53,Exceeding
Aurangabad,Bihar,"Aurangabad, Bihar",24.70332,84.3542049,68.05999985,Exceeding
Bagha Kusmar,Bihar,"Bagha Kusmar, Bihar",26.41893,86.4161998,76.01999817,Exceeding
Bahraich,Uttar Pradesh,"Bahraich, Uttar Pradesh",27.57052,81.5976672,89.9,Exceeding
Bajpur,Uttarakhand,"Bajpur, Uttarakhand",29.15853,79.1463868,49,Exceeding
Balangir,Odisha,"Balangir, Odisha",20.70111,83.4846069,59.79999924,Exceeding
"Balasore, Odisha",Odisha,"Balasore, Odisha",21.4933578,86.9134794,47.18000107,Exceeding
Ballia,Uttar Pradesh,"Ballia, Uttar Pradesh",25.76312,84.149622,97.90000153,Exceeding
Bally,West Bengal,"Bally, West Bengal",22.64967,88.3386447,64.86000061,Exceeding
Balurghat,West Bengal,"Balurghat, West Bengal",25.23728,88.7830612,65.73999939,Exceeding
Barahiya,Bihar,"Barahiya, Bihar",25.28355,86.0172595,85.66000061,Exceeding
Baranagar,West Bengal,"Baranagar, West Bengal",22.64374,88.3776948,64.78000031,Exceeding
Barasat,West Bengal,"Barasat, West Bengal",22.72476,88.4789351,60.98000031,Exceeding
Barauli,Bihar,"Barauli, Bihar",26.3964,84.5848309,105.5200012,Exceeding
Barbigha,Bihar,"Barbigha, Bihar",25.22077,85.7318435,84.99999847,Exceeding
Barbil,Odisha,"Barbil, Odisha",22.10534,85.3789642,56.95999985,Exceeding
Bardhaman,West Bengal,"Bardhaman, West Bengal",23.23242,87.8614793,76.60000153,Exceeding
Bareilly,Uttar Pradesh,"Bareilly, Uttar Pradesh",28.36704,79.4304381,83.88000031,Exceeding
Bargarh,Odisha,"Bargarh, Odisha",21.34702,83.6320212,66.55999908,Exceeding
Barh,Bihar,"Barh, Bihar",25.47227,85.7081842,100.6800003,Exceeding
Barnala,Punjab,"Barnala, Punjab",30.38194,75.5467979,80.71999969,Exceeding
Batala,Punjab,"Batala, Punjab",31.81952,75.2035876,67.54000015,Exceeding
Bathinda,Punjab,"Bathinda, Punjab",30.21099,74.9454745,81.7,Exceeding
Begusarai,Bihar,"Begusarai, Bihar",25.41816,86.1271542,87.27999878,Exceeding
Belonia,Tripura,"Belonia, Tripura",23.25049,91.4676394,77.30000153,Exceeding
Berhampore,West Bengal,"Berhampore, West Bengal",24.09826,88.268411,63.95999985,Exceeding
Bettiah,Bihar,"Bettiah, Bihar",26.80256,84.520147,98.60000153,Exceeding
Bhabua,Bihar,"Bhabua, Bihar",25.04262,83.6055732,72.96000214,Exceeding
Bhagalpur,Bihar,"Bhagalpur, Bihar",25.24245,86.9842256,73.33999939,Exceeding
Bhalswa Jahangir Pur,Delhi,"Bhalswa Jahangir Pur, Delhi",28.73501,77.1636148,119.3200012,Exceeding
Bharatpur,Rajasthan,"Bharatpur, Rajasthan",27.21519,77.5029996,94.46000214,Exceeding
Bhatapara,Chhattisgarh,"Bhatapara, Chhattisgarh",21.73705,81.947318,77.35999908,Exceeding
Bhatpara,West Bengal,"Bhatpara, West Bengal",22.85358,88.3911634,65.74000015,Exceeding
Bhavnagar,Gujarat,"Bhavnagar, Gujarat",21.76447,72.1519304,44.11999969,Exceeding
Bhilai,Chhattisgarh,"Bhilai, Chhattisgarh",21.19385,81.3509416,81.48000031,Exceeding
Bhilwara,Rajasthan,"Bhilwara, Rajasthan",25.34074,74.6313183,52.55999985,Exceeding
Bhind,Madhya Pradesh,"Bhind, Madhya Pradesh",26.56378,78.7860916,102.4800003,Exceeding
Bhiwani,Haryana,"Bhiwani, Haryana",28.79747,76.1322058,90.90000153,Exceeding
Bhubaneswar,Odisha,"Bhubaneswar, Odisha",20.29606,85.8245398,45.3,Exceeding
Bhusawal,Maharashtra,"Bhusawal, Maharashtra",21.04177,75.7875517,54.08000031,Exceeding
Bhusawar,Rajasthan,"Bhusawar, Rajasthan",27.03555,77.0506896,84.6,Exceeding
Bidhannagar,West Bengal,"Bidhannagar, West Bengal",22.57968,88.414312,61.34000015,Exceeding
Bihar Sharif,Bihar,"Bihar Sharif, Bihar",25.20497,85.517437,86.9,Exceeding
Bikaner,Rajasthan,"Bikaner, Rajasthan",28.02293,73.3119159,53.24000092,Exceeding
Bilaspur,Chhattisgarh,"Bilaspur, Chhattisgarh",22.07965,82.1409152,73.08000031,Exceeding
Bindki,Uttar Pradesh,"Bindki, Uttar Pradesh",26.02856,80.5771737,100.2600006,Exceeding
Bodhan,Telangana,"Bodhan, Telangana",18.67944,77.8767442,43.44000015,Exceeding
Bokaro,Jharkhand,"Bokaro, Jharkhand",23.6693,86.151112,74.77999878,Exceeding
Budaun,Uttar Pradesh,"Budaun, Uttar Pradesh",28.03111,79.1271229,92.58000031,Exceeding
Budhlada,Punjab,"Budhlada, Punjab",29.92669,75.5541854,84.06000061,Exceeding
Bulandshahr,Uttar Pradesh,"Bulandshahr, Uttar Pradesh",28.40696,77.8498292,94.62000122,Exceeding
Burhanpur,Madhya Pradesh,"Burhanpur, Madhya Pradesh",21.3145,76.2180095,51.85999908,Exceeding
Buxar,Bihar,"Buxar, Bihar",25.56471,83.9777482,98.08000031,Exceeding
Byasanagar,Odisha,"Byasanagar, Odisha",20.95506,86.1271048,48.04000092,Exceeding
"Byrnihat, Meghalaya",Meghalaya,"Byrnihat, Meghalaya",26.0515133,91.8696411,42,Exceeding
Chaibasa,Jharkhand,"Chaibasa, Jharkhand",22.54744,85.8025373,66.9,Exceeding
Chakradharpur,Jharkhand,"Chakradharpur, Jharkhand",22.67655,85.6254997,62.30000076,Exceeding
Chandpara,West Bengal,"Chandpara, West Bengal",22.97632,88.7814325,59.99999924,Exceeding
Charkhari,Uttar Pradesh,"Charkhari, Uttar Pradesh",25.40188,79.7501005,72.86000061,Exceeding
Charkhi Dadri,Haryana,"Charkhi Dadri, Haryana",28.59206,76.2652909,91.31999969,Exceeding
Charthaval,Uttar Pradesh,"Charthaval, Uttar Pradesh",29.54399,77.5920285,72.7,Exceeding
Chatra,Jharkhand,"Chatra, Jharkhand",24.20654,84.871802,49.10000076,Exceeding
Chhapra,Bihar,"Chhapra, Bihar",25.78114,84.7543413,95.51999817,Exceeding
Chhapra,Gujarat,"Chhapra, Gujarat",22.2187,70.6029934,44.67999954,Exceeding
